model,MAE,RMSE,WAPE,MASE,ranked
Naive,898702.5189194914,2374778.7469598614,0.3650437650271794,2.7197336065891475,True
Seasonal naive,424669.1571327684,1291432.741566546,0.172496265167976,1.132917526093064,True
ETS (Holt-Winters),483779.14316763554,1607994.7407774562,0.1965061365087338,1.1267696324454564,True
LightGBM (global),409835.6113058128,1248816.86455171,0.1664710306733789,1.0335615268572762,True
Budget (v1)  [human],412666.8061193503,1144313.078915127,0.1676210330295554,1.106736014115392,True
Rolling forecast (v2),358879.4756956215,997312.8655721616,0.1457731699210312,0.9604930599850288,False
Theta,472078.22331947694,1402938.3469112208,0.1917533426245145,1.053722612430254,True
STL+ETS,499981.083748805,1626257.0150465122,0.20308719894706728,1.2226760412036153,True
SARIMA,426326.689858248,1290262.7460959086,0.17316953799633344,1.1253204294161965,True
